Departemen Arsitektur 2 (Decimal('2020'), 4, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0315, 0.84, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 3 (Decimal('2020'), 6, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0315, 0.2625, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 4 (Decimal('2020'), 7, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0315, 1.4511, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 5 (Decimal('2020'), 10, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0315, 2.625, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 6 (Decimal('2020'), 11, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.028, 5.25, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 7 (Decimal('2020'), 12, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.028, 0.0105, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 8 (Decimal('2020'), 13, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0245, 0.8129, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 9 (Decimal('2020'), 14, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0245, 0.3675, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 10 (Decimal('2020'), 16, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0245, 0.651, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 11 (Decimal('2020'), 18, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0245, 2.625, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 12 (Decimal('2020'), 19, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0245, 0.4975, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 13 (Decimal('2020'), 20, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.021, 0.651, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 14 (Decimal('2020'), 21, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.021, 0.0253, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 15 (Decimal('2020'), 22, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0175, 0.7035, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 16 (Decimal('2020'), 24, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0175, 1.1505, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Arsitektur 17 (Decimal('2020'), 25, '067F74F3-1D3D-4AE5-99A5-BE7DC5794346', 0.0175, 0.6825, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
